,Ratio,QoM-pre,QoM-post
79.4,0.5802469135802469,0.07900602712778301,0.0730129865269523
79.5,0.5679012345679012,0.07819236168381162,0.07062628416762187
79.6,0.5432098765432098,0.07896924108432701,0.07389485244000407
79.7,0.5432098765432098,0.07711189067693343,0.07373910227063055
79.8,0.5802469135802469,0.07478063467443787,0.07281082634666061
79.9,0.5679012345679012,0.07512831758312728,0.07350522035819694
80.0,0.5555555555555556,0.07491675388481536,0.07178213276180431
80.1,0.5555555555555556,0.07767153859523293,0.07053483789567455
80.2,0.5555555555555556,0.07920278460723314,0.0713726955493966
80.3,0.6296296296296297,0.07956562144710003,0.07225585959169648
80.4,0.5802469135802469,0.08054927706925895,0.07463896765043884
80.5,0.575,0.07656897360982338,0.07563541514086514
80.6,0.6125,0.0812074752076376,0.07386869903274963
80.7,0.575,0.08068440387554052,0.07485992841040273
80.8,0.5875,0.07927053982714444,0.07246695819391087
80.9,0.5925925925925926,0.07756861057414083,0.0717466201413274
81.0,0.5802469135802469,0.0763076409909809,0.07032111608361943
81.1,0.5925925925925926,0.07462893166762051,0.06924257728560528
81.2,0.5185185185185185,0.07342614001972364,0.07375679220920231
81.3,0.49382716049382713,0.07295798039553424,0.0733941382050303
81.4,0.48148148148148145,0.07012002526427209,0.07284257378670302
81.5,0.5185185185185185,0.0726072129333919,0.07027299652881655
81.6,0.47560975609756095,0.06888462731234227,0.07314481390427408
81.7,0.45121951219512196,0.07178413717561813,0.0717360291598482
81.8,0.47560975609756095,0.07028307483054888,0.07181681282408864
81.9,0.47560975609756095,0.07215403054692132,0.07242925774054113
82.0,0.5121951219512195,0.07365165576269053,0.07220115691506503
82.1,0.49382716049382713,0.07280398244025374,0.07151178460553971
82.2,0.4444444444444444,0.07312360532818728,0.07573535624269082
82.3,0.48148148148148145,0.0707570342535551,0.07660059434698194
82.4,0.4444444444444444,0.0730129865269523,0.07824562599212849
82.5,0.48148148148148145,0.07062628416762187,0.07834134741820559
82.6,0.48148148148148145,0.07389485244000407,0.08091754720744233
82.7,0.4444444444444444,0.07373910227063055,0.07988073188312134
82.8,0.4444444444444444,0.07281082634666061,0.08051600205482369
82.9,0.4444444444444444,0.07350522035819694,0.08028800371544381
83.0,0.4444444444444444,0.07178213276180431,0.0803140474947621
83.1,0.4268292682926829,0.07053483789567455,0.08095240536897892
83.2,0.3902439024390244,0.0713726955493966,0.08231764382296908
83.3,0.4268292682926829,0.07225585959169648,0.08268862387625636
83.4,0.43902439024390244,0.07463896765043884,0.079182328113465
83.5,0.48148148148148145,0.07563541514086514,0.07818425976924143
83.6,0.5185185185185185,0.07386869903274963,0.0770665257545525
83.7,0.48148148148148145,0.07485992841040273,0.07256723816705528
83.8,0.4691358024691358,0.07246695819391087,0.07171493039747023
83.9,0.4567901234567901,0.0717466201413274,0.07028795054956415
84.0,0.4444444444444444,0.07032111608361943,0.07511145928579717
84.1,0.4444444444444444,0.06924257728560528,0.07659728812408867
84.2,0.48148148148148145,0.07375679220920231,0.07598987286350592
84.3,0.4444444444444444,0.0733941382050303,0.07264752600320565
84.4,0.4691358024691358,0.07284257378670302,0.07393620045480041
84.5,0.48148148148148145,0.07027299652881655,0.07614799999352594
84.6,0.4444444444444444,0.07314481390427408,0.07313336760181421
84.7,0.4444444444444444,0.0717360291598482,0.0732316904223779
84.8,0.3950617283950617,0.07181681282408864,0.07316431217424658
84.9,0.43209876543209874,0.07242925774054113,0.07730370210893486
85.0,0.48148148148148145,0.07220115691506503,0.0757254418238466
85.1,0.4875,0.07151178460553971,0.07358677608373197
85.2,0.5,0.07573535624269082,0.07182439829482813
85.3,0.5,0.07660059434698194,0.07097038279699283
85.4,0.5625,0.07824562599212849,0.07171903071838041
85.5,0.569620253164557,0.07834134741820559,0.0734999122980356
85.6,0.5443037974683544,0.08091754720744233,0.07644278236060956
85.7,0.5625,0.07988073188312134,0.07815668364537146
85.8,0.575,0.08051600205482369,0.07479869141328427
85.9,0.5875,0.08028800371544381,0.07349936595463459
86.0,0.5679012345679012,0.0803140474947621,0.07008404022428416
86.1,0.573170731707317,0.08095240536897892,0.0694619369893959
86.2,0.5853658536585366,0.08231764382296908,0.06967871500307352
86.3,0.5975609756097561,0.08268862387625636,0.06964015053993113
86.4,0.5853658536585366,0.079182328113465,0.07158940300244832
86.5,0.5975609756097561,0.07818425976924143,0.07043981230404597
86.6,0.573170731707317,0.0770665257545525,0.06995851178223816
86.7,0.6097560975609756,0.07256723816705528,0.06816631411868417
86.8,0.5853658536585366,0.07171493039747023,0.06886101160174311
86.9,0.6049382716049383,0.07028795054956415,0.0697211962945758
87.0,0.65,0.07511145928579717,0.06998458404707605
87.1,0.6375,0.07659728812408867,0.06959999375407205
87.2,0.5925925925925926,0.07598987286350592,0.06971035946551825
87.3,0.6172839506172839,0.07264752600320565,0.06906887005859777
87.4,0.654320987654321,0.07393620045480041,0.0727422613775738
87.5,0.6172839506172839,0.07614799999352594,0.07035814973120161
87.6,0.6049382716049383,0.07313336760181421,0.06769859525907906
87.7,0.5679012345679012,0.0732316904223779,0.06942306691052558
87.8,0.5432098765432098,0.07316431217424658,0.06715885667406457
87.9,0.5185185185185185,0.07730370210893486,0.07141618668660817
88.0,0.5555555555555556,0.0757254418238466,0.07045423731173717
88.1,0.5308641975308642,0.07358677608373197,0.07060628544154307
88.2,0.5061728395061729,0.07182439829482813,0.07055889231631934
88.3,0.49382716049382713,0.07097038279699283,0.07236538726049044
88.4,0.5308641975308642,0.07171903071838041,0.07150193434826263
88.5,0.5875,0.0734999122980356,0.07373512453942052
88.6,0.575,0.07644278236060956,0.07102405301798206
88.7,0.6049382716049383,0.07815668364537146,0.07100924558374014
88.8,0.5308641975308642,0.07479869141328427,0.06816844323645127
88.9,0.5555555555555556,0.07349936595463459,0.06653561478752534
89.0,0.573170731707317,0.07008404022428416,0.06749940218596531
89.1,0.5487804878048781,0.0694619369893959,0.06961169515955673
89.2,0.573170731707317,0.06967871500307352,0.07034365405364312
89.3,0.573170731707317,0.06964015053993113,0.07057307846314995
89.4,0.6097560975609756,0.07158940300244832,0.07002031877570208
89.5,0.5609756097560976,0.07043981230404597,0.0687861324020213
89.6,0.524390243902439,0.06995851178223816,0.07310002259160003
89.7,0.4878048780487805,0.06816631411868417,0.0754932096225619
89.8,0.5,0.06886101160174311,0.07450343509337896
89.9,0.45121951219512196,0.0697211962945758,0.07462993165619664
90.0,0.5061728395061729,0.06998458404707605,0.07351430190970226
90.1,0.5308641975308642,0.06959999375407205,0.0707664354857868
90.2,0.5365853658536586,0.06971035946551825,0.06742971445105317
90.3,0.524390243902439,0.06906887005859777,0.06643341913085124
90.4,0.5802469135802469,0.0727422613775738,0.06740055583450277
